UseCode|CodeDesc|CdeRetireFlg|RecDateTime|RecUserId
0000|Vacant Land|0|12/31/1997|
0001|No Description Available|0||
0003|No Description Available|0|01/06/1999|
0008|No Description Available|0||
0009|No Description Available|0|03/20/1998|
0030|No Description Available|0||
0034|No Description Available|0||
0036|No Description Available|0|03/20/1998|
0040|No Description Available|0||
0041|No Description Available|0|04/14/1999|
0050|Primary Vacant Land with Improvements|0||
0051|No Description Available|0|03/20/1998|
0055|No Description Available|0||
0060|No Description Available|0||
0075|No Description Available|0||
0085|No Description Available|0||
0090|Water Moratorium|0|12/31/1997|
0093|No Description Available|0|03/20/1998|
0099|Downzoning, etc.|0|12/31/1997|
01|No Description Available|0||
0100|Single Family Residence|0|12/31/1997|
0101|No Description Available|0||
0110|No Description Available|0|03/20/1998|
0111|No Description Available|0|03/20/1998|
0120|No Description Available|0|03/20/1998|
0130|Planned Unit Development|0|03/20/1998|
0131|No Description Available|0||
0132|No Description Available|0||
0133|No Description Available|0|03/20/1998|
0134|No Description Available|0||
0135|No Description Available|0||
0150|Residential Estate 3000 sq.ft. (Main residence, ca|0|12/31/1997|
0151|No Description Available|0|03/20/1998|
0153|No Description Available|0||
0154|No Description Available|0||
0155|No Description Available|0|03/20/1998|
0158|No Description Available|0|03/20/1998|
0159|No Description Available|0||
0160|Residential Estate (6000 sq.ft. or more of living|0|12/31/1997|
0163|No Description Available|0||
0169|No Description Available|0|03/20/1998|
0170|No Description Available|0|03/20/1998|
0180|No Description Available|0|03/20/1998|
0190|No Description Available|0|03/20/1998|
0199|Single Family Resale Restricted|0||
0200|Mobile Home|0|12/31/1997|
0210|No Description Available|0|03/20/1998|
0211|No Description Available|0||
0222|No Description Available|0||
0223|No Description Available|0||
0227|No Description Available|0||
0231|No Description Available|0|03/20/1998|
0240|Sited outside M/H Park (P.I.)|0|12/31/1997|
0241|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0242|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0243|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0244|Single Wide built 1960-1980|0|12/31/1997|
0245|Double Wide build 1960-1980|0|12/31/1997|
0246|Larger than D/W built 1960-1980|0|12/31/1997|
0247|Single Wide built prior to 1960|0|12/31/1997|
0248|Double Wide built prior to 1960|0|12/31/1997|
0249|Larger than D/W built prior to 1960|0|12/31/1997|
0250|Sited inside M/H Park (P.I.)|0|12/31/1997|
0251|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0252|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0253|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0254|Single Wide built 1960-1980|0|12/31/1997|
0255|Double Wide build 1960-1980|0|12/31/1997|
0256|Larger than D/W built 1960-1980|0|12/31/1997|
0257|Single Wide built prior to 1960|0|12/31/1997|
0258|Double Wide built prior to 1960|0|12/31/1997|
0259|Larger than D/W built prior to 1960|0|12/31/1997|
0260|Sited outside M/H Park (Rented)|0|12/31/1997|
0261|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0262|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0263|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0264|Single Wide built 1960-1980|0|12/31/1997|
0265|Double Wide build 1960-1980|0|12/31/1997|
0266|Larger than D/W built 1960-1980|0|12/31/1997|
0267|Single Wide built prior to 1960|0|12/31/1997|
0268|Double Wide built prior to 1960|0|12/31/1997|
0269|Larger than D/W built prior to 1960|0|12/31/1997|
0270|Sited inside M/H Park (Rented)|0|12/31/1997|
0271|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0272|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0273|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0274|Single Wide built 1960-1980|0|12/31/1997|
0275|Double Wide build 1960-1980|0|12/31/1997|
0276|Larger than D/W built 1960-1980|0|12/31/1997|
0277|Single Wide built prior to 1960|0|12/31/1997|
0278|Double Wide built prior to 1960|0|12/31/1997|
0279|Larger than D/W built prior to 1960|0|12/31/1997|
0280|Sited outside M/H Park (Owned)|0|12/31/1997|
0281|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0282|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0283|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0284|Single Wide built 1960-1980|0|12/31/1997|
0285|Double Wide build 1960-1980|0|12/31/1997|
0286|Larger than D/W built 1960-1980|0|12/31/1997|
0287|Single Wide built prior to 1960|0|12/31/1997|
0288|Double Wide built prior to 1960|0|12/31/1997|
0289|Larger than D/W built prior to 1960|0|12/31/1997|
0290|Sited inside M/H Park (Owned)|0|12/31/1997|
0291|Single Wide New Const. (after 7/1/80)|0|12/31/1997|
0292|Double Wide New Const. (after 7/1/80)|0|12/31/1997|
0293|Larger than D/W New Const. (after 7/1/80)|0|12/31/1997|
0294|Single Wide built 1960-1980|0|12/31/1997|
0295|Double Wide build 1960-1980|0|12/31/1997|
0296|Larger than D/W built 1960-1980|0|12/31/1997|
0297|Single Wide built prior to 1960|0|12/31/1997|
0298|Double Wide built prior to 1960|0|12/31/1997|
0299|Larger than D/W built prior to 1960|0|12/31/1997|
0300|Condo|0|12/31/1997|
0301|No Description Available|0||
0302|No Description Available|0|03/20/1998|
0303|No Description Available|0|03/20/1998|
0304|No Description Available|0|03/20/1998|
0306|No Description Available|0|03/20/1998|
0310|Rec. Area - 5-6 class|0|12/31/1997|
0311|Rec. Area - 5-6 class, 500-800 sq. ft.|0|12/31/1997|
0312|Rec. Area - 5-6 class, 800-1000 sq.ft.|0|12/31/1997|
0313|Rec. Area - 5-6 class, 1000-1300 sq.ft.|0|12/31/1997|
0314|Rec. Area - 5-6 class, 1300-1500 sq.ft.|0|12/31/1997|
0315|Rec. Area - 5-6 class, 1500-1800 sq.ft.|0|12/31/1997|
0316|Rec. Area - 5-6 class, 1800-2000 sq.ft.|0|12/31/1997|
0317|Rec. Area - 5-6 class, 2000-2400 sq.ft.|0|12/31/1997|
